Latitude,Longitude,Started
37.857,-120.086,20130817
34.585595,-118.423176,20130530
33.7095,-116.72885,20130715
39.12,-120.65,20130810
0,0,20130502
37.279,-119.318,20130722
33.86157,-116.90427,20130807
41.32,-123.176,20130731
41.035,-123.488,20130810
40.04263,-121.85397,20130823
40.498332,-122.535496,20130909
32.95435,-116.47381,20130706
40.190062,-121.595555,20130501
34.7861,-118.9411,20130515
34.7861,-118.9411,20130515
38.8167,-122.8498,20131122
34.288877,-116.941311,20130501
37.90757,-121.882582,20130908
33.12111,-116.52579,20130523
39.446268,-121.38236,20130816
33.341,-117.3092,20131005
36.208,-118.444,20130824
34.55048,-119.82429,20130527
37.58202,-119.91071,20130616
33.62236,-117.40288,20130805
33.04458,-116.5209,20130526
38.25108,-120.02778,20130805
0,0,20131216
35.707,-118.588,20130818
34.882,-118.9194,20130719
34.49149,-118.610044,20130517
34.90327,-118.93388,20130723
38.774,-120.298,20130708
34.071556,-117.048397,20130628
40.00842,-120.764666,20130818
33.894055,-116.855019,20130504
41.2415,-121.035,20130703
35.15832,-120.05131,20130601
37.96866,-121.91453,20130701
37.015575,-119.78106,20130616
34.302,-117.598,20130820
36.602575,-118.01651,20130224
38.628,-122.289,20131003
37.160346,-120.937494,20130503
0,0,20130228
39.439,-121.497,20131004
38.04993,-120.90325,20130530
39.434183,-121.576804,20130603
0,0,20130122
39.90465,-121.74367,20130701
37.116295,-119.635004,20130430
34.149,-117.908,20130923
32.710918,-116.746023,20130909
34.35,-117.62,20130808
37.775057,-121.737213,20130608
38.729297,-121.380862,20130613
0,0,20130612
39.514139,-122.560862,20130501
0,0,20130717
34.2,-117.417,20130924
40.012398,-122.079871,20130704
40.5445,-121.3754,20130819
39.961309,-122.330879,20130719
38.382,-122.311,20131121
34.611824,-120.074655,20130528
38.67479,-122.08725,20131104
38.63987,-121.08438,20130719
38.63987,-121.08438,20130719
38.34599,-122.6503,20131004
38.17693,-122.51253,20130726
0,0,20131004
33.990128,-117.164997,20130716
37.436,-121.1955,20130712
36.7218,-119.2248,20130625
0,0,20130522
34.419284,-118.58688,20130528
36.258,-118.459,20130908
38.638828,-122.655616,20130501
38.08744,-122.13802,20130618
37.03776,-121.006939,20130604
33.963591,-117.187934,20130525
38.882214,-122.567525,20131108
38.682378,-120.839075,20130816
34.287,-117.451,20130817
36.772425,-119.628389,20130613
36.1531,-120.8973,20130629
0,0,20130809
37.91529,-120.33313,20130602
32.564465,-116.900368,20130522
38.9252,-122.966,20130928
41.73325,-120.375,20130905
33.642,-116.706,20130824
40.88886,-120.958126,20130809
38.27783,-120.966016,20130612
35.4393,-120.8358,20130924
39.6612,-121.50354,20130801
37.1927,-119.7917,20130519
33.9582,-116.6534,20130521
35.62743,-120.83417,20130707
39.0442,-123.1478,20131122
39.731878,-121.713938,20130831
0,0,20130409
0,0,20130915
34.316,-117.352,20130725
37.169379,-119.75636,20130612
34.1834,-117.4408,20130513
38.441792,-122.350844,20130430
34.003151,-117.106075,20130911
39.206,-121.31634,20130708
0,0,20130501
39.013682,-122.491894,20130816
41.569,-120.959,20130907
34.384,-119.13249,20131114
38.838,-116.61,20130806
33.91027,-116.99895,20130804
39.333401,-121.107022,20130831
35.457978,-120.751555,20131108
39.0448,-122.7656,20131123
41.923323,-122.578393,20130815
37.1438,-121.7804,20130712
37.7393,-121.5869,20130704
35.5123,-120.6368,20130525
38.06231,-120.45233,20130817
37.03087,-119.463757,20130617
38.980846,-123.067671,20130723
0,0,20131210
40.373,-122.7338,20130709
33.96936,-117.1265,20130608
37.667295,-122.427285,20130907
37.342186,-121.717706,20131231
33.7655,-117.6649,20131006
0,0,20130926
33.570291,-116.10815,20130816
0,0,20130731
33.9634,-117.2508,20130719
34.001745,-117.302057,20130614
33.655638,-116.161201,20130516
38.89555,-120.84716,20130824
39.1591,-122.5906,20130807
37.74241,-121.86216,20130706
36.763367,-119.558244,20130613
35.49864,-120.91375,20130520
0,0,20130804
40.483662,-122.140914,20131107
37.965364,-120.696362,20130722
38.9777,-122.683,20130915
38.99233,-122.703193,20130605
34.288877,-116.941311,20130420
38.4229,-122.0437,20130610
38.4229,-122.0437,20130610
38.4229,-122.0437,20130610
38.4229,-122.0437,20130610
40.473356,-122.48259,20130814
32.612773,-116.707335,20130728
38.98058,-122.81796,20130620
33.96201,-116.907213,20130520
38.9289,-122.5818,20131123
0,0,20131230
33.94528,-117.09306,20130719
0,0,20130512
41.333,-123.376,20130803
33.99647,-116.84137,20130609
38.805437,-120.629714,20140913
0,0,20140802
40.901,-121.368,20140730
42.048,-122.345,20140730
0,0,20140730
40.72,-121.562,20140731
0,0,20140515
0,0,20140728
41.1336,-121.2144,20140730
40.4314,-122.750788,20140711
0,0,20140730
38.512,-122.104,20140704
41.141,-122.805,20140730
41.682,-122.127,20140731
33.3529,-117.284889,20140514
0,0,20140619
0,0,20140816
0,0,20140726
38.664,-122.454,20140701
38.664,-122.454,20140701
38.5691,-120.7819,20140725
38.5691,-120.7819,20140725
35.7206,-118.4747,20140818
35.70683,-118.555527,20140613
34.169346,-117.547374,20140430
33.1137,-117.1599,20140514
34.1703,-117.8816,20140116
35.642,-118.15,20140711
41.89,-120.79,20140701
33.003,-117.133,20140513
41.489,-120.904,20140703
33.417572,-117.550567,20140516
40.7101,-122.171,20140910
0,0,20140717
33.748,-117.601,20140912
40.134597,-121.790183,20140102
0,0,20140526
34.609,-120.454,20140513
37.3433,-119.6581,20140818
33.1109,-117.279,20140514
40.7412,-122.946,20140824
41.42384,-122.37432,20140915
37.76617,-120.45087,20140604
0,0,20141008
0,0,20140913
36.6313,-121.4819,20140319
0,0,20140728
