,Latitude,Longitude,Started,LocationIndex
971,38.51937,-123.24713,20171007,1
1020,38.70289,-122.90217,20170731,1
918,38.08055,-122.77846,20170712,1
1261,38.07135,-122.76751,19691231,1
1178,38.02447,-122.727,20180910,1
987,38.26294,-122.71998,20170827,1
912,37.9775,-122.65749,20170627,1
77,38.638828,-122.655616,20130501,1
68,38.34599,-122.6503,20131004,1
1041,38.36685,-122.64001,20171009,1
629,38.60895,-122.62879,20171008,1
628,38.60895,-122.62879,20171008,1
808,38.46123,-122.58152,20171014,1
1166,37.97638,-122.5275,20180609,1
1340,37.97638,-122.5275,20180609,1
623,38.4041,-122.5209,20171008,1
622,38.4041,-122.5209,20171008,1
69,38.17693,-122.51253,20130726,1
679,38.14242,-122.47301,20171009,1
1555,38.63047,-122.47282,20190608,1
180,38.664,-122.454,20140701,1
181,38.664,-122.454,20140701,1
1093,38.69601,-122.44468,20180908,1
1361,38.245151,-122.44408,20180605,1
549,38.40958,-122.43172,20161010,1
1042,38.31802,-122.39052,20171008,1
266,38.695961,-122.384054,20140911,1
106,38.441792,-122.350844,20130430,1
403,38.5287,-122.3415,20150616,1
63,38.382,-122.311,20131121,1
42,38.628,-122.289,20131003,1
963,38.68347,-122.2654,20170613,1
1355,38.27229,-122.26389,20180809,1
574,38.68403,-122.26015,20160809,1
1576,38.07944444,-122.2561111,20190926,1
734,38.02929,-122.25544,20170708,1
799,38.49336,-122.2483,20170811,1
1392,38.045866,-122.245186,20191015,1
625,38.39206,-122.24367,20171008,1
624,38.39206,-122.24367,20171008,1
1344,38.16303,-122.23059,20180521,1
911,38.07481,-122.23004,20170622,1
1492,38.07205,-122.22463,20191027,1
1487,38.03545,-122.2241,20191027,1
1436,38.165873,-122.211671,20191006,1
570,38.01264,-122.1885,20160724,1
1184,38.51943,-122.18353,20180728,1
426,38.519132,-122.181878,20150627,1
1594,37.99837,-122.16201,20190705,1
402,38.1029,-122.1578,20150710,1
491,38.69971,-122.15457,20160626,1
1540,38.481258,-122.143942,20190722,1
1291,37.99618,-122.14097,20180817,1
78,38.08744,-122.13802,20130618,1
1595,38.21416,-122.12214,20190607,1
1478,38.158333,-122.118889,20190724,1
1553,37.97911,-122.11092,20191027,1
173,38.512,-122.104,20140704,1
65,38.67479,-122.08725,20131104,1
347,38.4113,-122.0789,20150706,1
443,38.52513,-122.06788,20160802,1
1096,38.431278,-122.043747,20180810,1
150,38.4229,-122.0437,20130610,1
151,38.4229,-122.0437,20130610,1
149,38.4229,-122.0437,20130610,1
148,38.4229,-122.0437,20130610,1
551,38.33475,-122.02564,20160722,1
671,38.49521,-122.0251,20170706,1
1332,38.64953,-122.01762,20180601,1
863,38.4446,-122.0041,20170923,1
1301,38.015323,-121.998967,20180616,1
1118,38.59694444,-121.9938889,20180718,1
1148,37.94714,-121.9921,20180629,1
1596,38.02503,-121.9763,20190606,1
810,38.43658,-121.97233,20171002,1
1522,38.455,-121.969167,20190813,1
1174,38.45673,-121.94658,20181012,1
1103,38.21396,-121.9424,20181108,1
38,37.96866,-121.91453,20130701,1
1305,37.99113,-121.86473,20180602,1
717,33.3906,-117.32348,20170519,2
1349,33.47413,-117.31468,20180603,2
20,33.341,-117.3092,20131005,2
1502,33.39684,-117.29665,20190620,2
388,33.4115972,-117.2886249,20150809,2
176,33.3529,-117.284889,20140514,2
1317,33.40178,-117.27467,20180509,2
1418,33.528469,-117.273157,20190904,2
1159,33.41476,-117.24044,20180728,2
1341,33.40769,-117.22974,20180605,2
1364,33.45014,-117.22215,20180602,2
661,33.3237,-117.163,20171207,2
209,33.312,-117.162,20140514,2
1224,33.504964,-117.148204,20180504,2
512,33.476894,-117.140883,20160604,2
547,33.41639,-117.08829,20160531,2
1438,33.4853,-117.043723,20190914,2
43,37.160346,-120.937494,20130503,3
1231,40.741186,-122.649626,20180720,4
985,40.703775,-122.645079,20170626,4
1059,40.65428,-122.62357,20180723,4
1058,40.65428,-122.62357,20180723,4
576,40.61213,-122.47091,20160809,4
598,40.61388,-122.46777,20160611,4
495,34.75134,-120.55297,20160922,5
438,34.63445,-120.54421,20160917,5
199,34.609,-120.454,20140513,5
722,34.67403,-120.4393,20170929,5
1007,34.605358,-120.414875,20171214,5
1215,34.54305556,-120.3180556,20180718,5
1006,34.71796,-120.27077,20171216,5
1196,34.62412,-120.22298,20180720,5
1443,34.484722,-120.190833,20191017,5
1474,34.630919,-120.187368,20190909,5
1243,34.74245,-120.18236,20180517,5
875,34.72379,-120.13249,20170717,5
64,34.611824,-120.074655,20130528,5
1507,34.665699,-119.94974,20190728,5
637,34.55096,-119.9494,20170708,5
1195,34.463889,-119.831389,20180706,5
22,34.55048,-119.82429,20130527,5
1410,34.5025,-119.785,20191125,5
423,34.4828,-119.63216,20151029,5
1168,34.576944,-119.61416,20180901,5
1452,34.71011,-119.3547,20190901,5
821,34.34949,-119.30918,20171024,5
1472,34.23955,-119.20187,20191011,5
460,34.701,-119.144,20160630,5
112,34.384,-119.13249,20131114,5
1179,34.30166667,-119.0991667,20181115,5
617,34.41521,-119.09124,20171204,5
616,34.41521,-119.09124,20171204,5
1400,34.302212,-118.997115,20191031,5
877,34.20599,-118.98603,20170704,5
1495,34.366111,-118.96,20190714,5
1514,34.156389,-118.950833,20191010,5
1082,34.22685,-118.93444,20181108,5
393,34.15,-118.879444,20151107,5
1370,34.282179,-118.803389,20191030,5
615,34.6888731,-118.7892593,20160419,5
1236,34.53765,-118.75495,20180623,5
1484,34.677864,-118.752395,20190803,5
897,34.10446,-118.70294,20170629,5
1061,34.235,-118.70128,20181108,5
1062,34.235,-118.70128,20181108,5
669,36.257,-118.296,20170802,6
1417,36.284,-118.228,20190906,6
1092,36.6734,-118.21881,20180708,6
584,36.58972,-118.15589,20160701,6
1108,36.71537,-118.08449,20180419,6
41,36.602575,-118.01651,20130224,6
1079,38.052055,-120.945482,20180629,7
1562,38.017138,-120.945044,20190905,7
46,38.04993,-120.90325,20130530,7
1144,38.061298,-120.872244,20180806,7
1011,37.89532,-120.84748,20171018,7
1469,37.944751,-120.84372,20190715,7
485,38.08056,-120.81394,20160712,7
1387,38.115224,-120.78068,20190718,7
144,37.965364,-120.696362,20130722,7
581,37.81434,-120.69521,20160730,7
847,37.82934,-120.68992,20170621,7
1214,37.95766,-120.68902,20180624,7
